cohort,label,unitid,institution_name,opeid,campus_count_2025_file,campus_ids,enrollment_total_single_bulk_field,enrollment_note,unitid_mapping_note,campus_scope_note
Additional public,Virginia,234076,University of Virginia-Main Campus,00374500,6,234076001;234076005;234076009;234076012;234076013;234076014,26409,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Washington Seattle,236948,University of Washington-Seattle Campus,00379800,1,236948001,56997,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Wisconsin Madison,240444,University of Wisconsin-Madison,00389500,1,240444001,51044,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Caltech,110404,California Institute of Technology,00113100,1,110404001,2430,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Carnegie Mellon,211440,Carnegie Mellon University,00324200,6,211440001;211440003;211440004;211440005;211440006;211440007,15888,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Chicago,144050,University of Chicago,00177400,8,144050001;144050002;144050003;144050005;144050006;144050008;144050009;144050010,18566,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Duke,198419,Duke University,00292000,3,198419001;198419002;198419003,17499,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Georgetown,131496,Georgetown University,00144500,6,131496001;131496002;131496003;131496005;131496006;131496007,20031,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Johns Hopkins,162928,Johns Hopkins University,00207700,10,162928001;162928002;162928003;162928006;162928007;162928009;162928011;162928012;162928014;162928015,30210,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,MIT,166683,Massachusetts Institute of Technology,00217800,1,166683001,11886,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Northwestern,147767,Northwestern University,00173900,6,147767001;147767002;147767003;147767004;147767005;147767006,23856,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Notre Dame,152080,University of Notre Dame,00184000,7,152080001;152080002;152080003;152080004;152080005;152080006;152080007,13042,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,NYU,193900,New York University,00278500,26,193900001;193900002;193900003;193900004;193900005;193900006;193900007;193900008;193900009;193900012;193900013;193900014;193900016;193900017;193900018;193900019;193900023;193900024;193900025;193900026;193900027;193900028;193900029;193900031;193900033;193900034,56832,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,Stanford,243744,Stanford University,00130500,12,243744001;243744002;243744003;243744004;243744006;243744007;243744008;243744009;243744010;243744013;243744014;243744015,18625,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional private,USC,123961,University of Southern California,00132800,9,123961001;123961002;123961003;123961005;123961006;123961007;123961008;123961009;123961015,46566,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
