unitid,opeid,cohort,label,institution_name,year,fall_headcount_total,undergraduate_headcount,graduate_headcount,full_time_headcount,part_time_headcount,fall_fte,distance_exclusive_headcount,distance_some_headcount,distance_none_headcount,not_exclusively_distance_headcount,distance_exclusive_share,distance_count_derivation,total_imputation_flag,distance_exclusive_imputation_flag,enrollment_release,source_file,source_member,source_variable,source_url,denominator_scope,residential_population,calendar_alignment,geography_warning
217156,00340100,Ivy League,Brown,Brown University,2022,11189,7639,3550,10585,604,10821,207,381,10601,10982,0.018500312807221378,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
190150,00270700,Ivy League,Columbia,Columbia University in the City of New York,2022,35784,9094,26690,28655,7129,31386,1111,3842,30831,34673,0.0310473954840152,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
190415,00271100,Ivy League,Cornell,Cornell University,2022,25898,15735,10163,25098,800,25404,382,2692,22824,25516,0.014750173758591396,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
182670,00257300,Ivy League,Dartmouth,Dartmouth College,2022,6744,4458,2286,6701,43,6717,0,117,6627,6744,0.0,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
166027,00215500,Ivy League,Harvard,Harvard University,2022,30631,9368,21263,21206,9425,24827,6923,1962,21746,23708,0.22601286278606642,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
215062,00337800,Ivy League,Pennsylvania,University of Pennsylvania,2022,28201,11250,16951,23559,4642,25342,2733,1186,24282,25468,0.09691145704053047,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
186131,00262700,Ivy League,Princeton,Princeton University,2022,8842,5604,3238,8778,64,8803,0,0,8842,8842,0.0,Zero derived from reported no-distance count equaling total; distance-only and some-distance source cells not applicable (A),R,A,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
130794,00142600,Ivy League,Yale,Yale University,2022,14776,6645,8131,14538,238,14629,74,86,14616,14702,0.005008121277747699,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
122409,00115100,Additional public,San Diego State,San Diego State University,2022,37402,32194,5208,31807,5595,33980,1456,19356,16590,35946,0.03892839955082616,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
139755,00156900,Additional public,Georgia Tech,Georgia Institute of Technology-Main Campus,2022,45296,18415,26881,23912,21384,31739,19398,3200,22698,25898,0.4282497350759449,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
145637,00177500,Additional public,Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,2022,56916,35120,21796,47046,9870,50671,9915,25151,21850,47001,0.17420409023824585,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
170976,00232500,Additional public,Michigan Ann Arbor,University of Michigan-Ann Arbor,2022,51225,32695,18530,47345,3880,48806,1525,5411,44289,49700,0.02977061981454368,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
199120,00297400,Additional public,North Carolina Chapel Hill,University of North Carolina at Chapel Hill,2022,31705,20029,11676,28484,3221,29685,1918,6104,23683,29787,0.060495190033117804,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
204796,00309000,Additional public,Ohio State Columbus,Ohio State University-Main Campus,2022,60540,46123,14417,52402,8138,55503,3835,34616,22089,56705,0.06334654773703337,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
214777,00332900,Additional public,Penn State University Park,Pennsylvania State University-Main Campus,2022,50028,41745,8283,48270,1758,48957,116,18032,31880,49912,0.002318701527144799,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
228778,00365800,Additional public,Texas Austin,The University of Texas at Austin,2022,52384,41309,11075,49081,3303,50389,375,19848,32161,52009,0.0071586744043982894,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
134130,00153500,Additional public,Florida,University of Florida,2022,55211,34552,20659,43969,11242,48183,8791,22792,23628,46420,0.1592255166542899,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
234076,00374500,Additional public,Virginia,University of Virginia-Main Campus,2022,26082,17444,8638,23248,2834,24312,1038,1445,23599,25044,0.03979756153669197,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
236948,00379800,Additional public,Washington Seattle,University of Washington-Seattle Campus,2022,52319,36213,16106,42432,9887,46300,1207,8658,42454,51112,0.02307001280605516,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
240444,00389500,Additional public,Wisconsin Madison,University of Wisconsin-Madison,2022,48956,36306,12650,44262,4694,46063,1384,10399,37173,47572,0.028270283519895415,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110404,00113100,Additional private,Caltech,California Institute of Technology,2022,2401,982,1419,2401,0,2401,0,0,2401,2401,0.0,Zero derived from reported no-distance count equaling total; distance-only and some-distance source cells not applicable (A),R,A,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
211440,00324200,Additional private,Carnegie Mellon,Carnegie Mellon University,2022,16002,7059,8943,15006,996,15389,572,2674,12756,15430,0.03574553180852393,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
144050,00177400,Additional private,Chicago,University of Chicago,2022,18339,7595,10744,16392,1947,17136,28,0,18311,18311,0.0015268008070232837,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
198419,00292000,Additional private,Duke,Duke University,2022,18023,6640,11383,17425,598,17654,950,1198,15875,17073,0.05271042556733063,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
131496,00144500,Additional private,Georgetown,Georgetown University,2022,20984,7900,13084,15462,5522,17579,3558,1382,16044,17426,0.169557758292032,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
162928,00207700,Additional private,Johns Hopkins,Johns Hopkins University,2022,31275,6044,25231,16888,14387,22389,14024,5304,11947,17251,0.44840927258193447,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
166683,00217800,Additional private,MIT,Massachusetts Institute of Technology,2022,11858,4657,7201,11625,233,11715,61,0,11797,11797,0.005144206442907742,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
147767,00173900,Additional private,Northwestern,Northwestern University,2022,23161,8993,14168,19264,3897,20757,1123,1594,20444,22038,0.04848668019515565,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
152080,00184000,Additional private,Notre Dame,University of Notre Dame,2022,13105,8971,4134,12809,296,12922,269,451,12385,12836,0.020526516596718808,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
193900,00278500,Additional private,NYU,New York University,2022,59144,29401,29743,50670,8474,53919,4060,14240,40844,55084,0.06864601650209658,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
243744,00130500,Additional private,Stanford,Stanford University,2022,18283,8049,10234,16992,1291,17488,288,779,17216,17995,0.01575233823770716,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
123961,00132800,Additional private,USC,University of Southern California,2022,48945,20699,28246,42969,5976,45258,6276,10206,32463,42669,0.1282255593012565,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110635,00131200,UC,UC Berkeley,University of California-Berkeley,2023,45699,33078,12621,41572,4127,43129,1745,8683,35271,43954,0.03818464298999978,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110644,00131300,UC,UC Davis,University of California-Davis,2023,39707,31797,7910,38184,1523,38771,351,4851,34505,39356,0.008839751177374266,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110653,00131400,UC,UC Irvine,University of California-Irvine,2023,36582,29503,7079,35511,1071,35924,628,12901,23053,35954,0.017166912689300748,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110662,00131500,UC,UCLA,University of California-Los Angeles,2023,46678,33040,13638,44730,1948,45458,649,5029,41000,46029,0.013903766228201723,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
445188,04127100,UC,UC Merced,University of California-Merced,2023,9147,8372,775,9033,114,9079,2,912,8233,9145,0.00021865092380015305,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110671,00131600,UC,UC Riverside,University of California-Riverside,2023,26426,22646,3780,25452,974,25832,288,8343,17795,26138,0.01089835767804435,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110680,00131700,UC,UC San Diego,University of California-San Diego,2023,42376,33792,8584,40716,1660,41356,310,7676,34390,42066,0.007315461582027563,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110699,00131900,UC,UC San Francisco,University of California-San Francisco,2023,3126,0,3126,3126,0,3126,13,947,2166,3113,0.004158669225847729,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110705,00132000,UC,UC Santa Barbara,University of California-Santa Barbara,2023,26068,23232,2836,25275,793,25586,34,2178,23856,26034,0.001304281110940617,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110714,00132100,UC,UC Santa Cruz,University of California-Santa Cruz,2023,19764,17812,1952,19120,644,19377,190,5613,13961,19574,0.009613438575187209,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
217156,00340100,Ivy League,Brown,Brown University,2023,11516,7741,3775,10832,684,11099,507,340,10669,11009,0.04402570336922543,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
190150,00270700,Ivy League,Columbia,Columbia University in the City of New York,2023,35279,9111,26168,28756,6523,31256,1458,2778,31043,33821,0.04132770203237053,Reported counts,R,R,final_revised,EF2023A.zip,ef2023a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/complete-data-files/EF2023A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
