institution_unitid,year,measure,value,status,source_url,source_sha256,source_id,source_title,period_label,scope_note,source_page
211440,2022,fraternity_sorority_housing_undergraduates,300,component_of_accepted_total,https://www.cmu.edu/police/reports/fire-safety/2024asr.pdf,5bfdfb888d3b155505f373424323fa9b9dbd1ece311054ec04565f12d21b93ba,cmu-asr-housing-2022,CMU ASR: Undergraduates by Housing (Pittsburgh),Fall 2022,"Pittsburgh undergraduates: University Housing 3,158 plus separately listed Fraternity & Sorority Housing 300. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF84; printed84
211440,2023,university_housing_undergraduates,3515,component_of_accepted_total,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr-housing-2023,CMU ASR: Undergraduates by Housing (Pittsburgh),Fall 2023,"Pittsburgh undergraduates: University Housing 3,515 plus separately listed Fraternity & Sorority Housing 249. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81
211440,2023,fraternity_sorority_housing_undergraduates,249,component_of_accepted_total,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr-housing-2023,CMU ASR: Undergraduates by Housing (Pittsburgh),Fall 2023,"Pittsburgh undergraduates: University Housing 3,515 plus separately listed Fraternity & Sorority Housing 249. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81
211440,2024,university_housing_undergraduates,3732,component_of_accepted_total,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr-housing-2024,CMU ASR: Undergraduates by Housing (Pittsburgh),Fall 2024,"Pittsburgh undergraduates: University Housing 3,732 plus separately listed Fraternity & Sorority Housing 256. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81
211440,2024,fraternity_sorority_housing_undergraduates,256,component_of_accepted_total,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr-housing-2024,CMU ASR: Undergraduates by Housing (Pittsburgh),Fall 2024,"Pittsburgh undergraduates: University Housing 3,732 plus separately listed Fraternity & Sorority Housing 256. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81
211440,2025,residents,,withheld_source_blank,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr2026-housing,CMU ASR2026: Undergraduates by Housing (Pittsburgh),Fall2025,The source displays a Fall2025 column but all housing classifications are blank. No interpolation from2024.,PDF81; printed81
243744,2022,residents,14015,withheld_indexed_only_origin_404,https://facts.stanford.edu/wp-content/uploads/sites/20/2023/02/2023_Stanford_Facts.pdf,,stanford-facts-2023-indexed,Stanford Facts indexed official document,Autumn quarter 2022,Exact component counts appear in official search index but original PDF bytes currently unavailable. Candidate only; not adopted.,Printed46
243744,2023,residents,14137,withheld_indexed_only_origin_404,https://facts.stanford.edu/wp-content/uploads/sites/20/2024/01/Stanford-FactBook2024_WEB.pdf,,stanford-facts-2024-indexed,Stanford Facts indexed official document,Autumn quarter 2023,Exact component counts appear in official search index but original PDF bytes currently unavailable. Candidate only; not adopted.,Printed46
152080,2023,residents,7200,withheld_rounded_population_summary,https://publicaffairs.nd.edu/assets/584558/notre_dame_2024_regional_impact_final.pdf,bb5a258e679728ed0c0120e033bd3f1246c3ca02d8218b2c30af915de6c41f98,notredame-impact2024,Doing Good: Economic and Social Impact of Notre Dame,Fall2023,"Institution-commissioned report describes approximately12,500enrolled students,7,200on-campus residents,4,800off campus and a little over500commuters. Rounded economic-model inputs; no exact housing census supplied.",PDF29; printed29; Section4.2 Student Spending
147767,2025,graduate_housing_capacity,645,withheld_capacity_not_occupants,https://www.cityofevanston.org/Documents/Departments/Community%20Development/Housing%20and%20Grants/Strategic%20Housing%20Plan/Previous%20Plan%20Versions/Housing4All%20Plan%20Update%201_14_26.pdf?t=202606021508530,dfd3b6e17c231d0bb475564f0c159bedfc1296b9f0d37b2571fd4665768c332d,evanston-housing4all2026,City of Evanston Housing4All Plan Update,"2025 estimates provided September11,2025",Graduate on-campus housing capacity; not occupied student headcount. Undergraduates/Chicago/Qatar also require coverage.,PDF20; printed18; Figure16
147767,2025,undergraduate_housing_capacity,5140,withheld_capacity_not_occupants,https://www.cityofevanston.org/Documents/Departments/Community%20Development/Housing%20and%20Grants/Strategic%20Housing%20Plan/Previous%20Plan%20Versions/Housing4All%20Plan%20Update%201_14_26.pdf?t=202606021508530,dfd3b6e17c231d0bb475564f0c159bedfc1296b9f0d37b2571fd4665768c332d,evanston-housing4all2026,City of Evanston Housing4All Plan Update,"2025 estimates provided September11,2025","Undergraduate on-campus housing capacity; rounded economic-plan estimates, not occupied student headcount.",PDF19; printed17; Figure15
