year_month,doj_county_dv_calls,doj_sheriff_named_entity_dv_calls,doj_known_sheriff_partial_reporting,supplied_export_all_source_ids,supplied_export_core_dv_source_ids,supplied_export_charge_rows,unit_warning,export_month_assignment
2018-01,1388,183,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-03,1390,226,0,2167,160,3380,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-04,1410,187,0,2061,150,3086,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-05,1450,203,0,2094,150,3129,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-06,1410,212,0,2102,178,3154,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-07,1666,208,0,2255,179,3502,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-08,1543,223,0,2322,167,3499,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-09,1552,234,0,2207,164,3234,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-10,1522,224,0,2132,168,3172,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-11,1442,191,0,1778,145,2698,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-12,1473,224,0,1844,171,2805,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-01,1427,218,0,2156,161,3309,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-02,1354,209,0,1991,151,2998,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-03,1490,176,0,1461,156,2239,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-04,1366,164,0,1083,132,1538,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-05,1410,188,0,1346,151,2141,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-06,1454,218,0,1268,142,1907,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-07,1541,239,0,1435,154,2328,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-08,1635,245,0,1621,168,2712,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-09,1576,205,0,1616,154,2676,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-10,1489,214,0,1677,158,2721,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-11,1471,211,0,1516,141,2490,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2020-12,1470,200,0,1418,170,2247,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-01,1419,181,0,1534,169,2417,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-02,1270,192,0,1433,123,2336,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-03,1565,189,0,1593,153,2563,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-04,1489,203,0,1630,153,2620,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-05,1563,227,0,1687,163,2687,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-06,1666,233,0,1642,176,2565,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-07,1692,242,0,1731,172,2701,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-08,1622,210,0,1634,154,2600,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-09,1622,224,0,1580,155,2463,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-10,1468,231,0,1618,166,2556,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-11,1451,186,0,1459,133,2317,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2021-12,1539,199,0,1476,158,2333,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-01,1302,172,0,1408,114,2232,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-02,1328,195,0,1447,122,2267,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-03,1565,182,0,1619,140,2577,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-04,1409,189,0,1517,117,2386,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-05,1471,200,0,1571,123,2571,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-06,1513,194,0,1491,140,2316,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-07,1587,212,0,1601,182,2423,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-08,1589,248,0,1643,152,2514,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-09,1559,250,0,1618,180,2392,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-10,1490,208,0,1534,136,2401,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-11,1383,183,0,1404,145,2161,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2022-12,1305,164,0,1459,123,2375,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-01,1393,162,0,1430,140,2247,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-02,1278,135,0,1291,108,2015,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-03,1363,198,0,1477,157,2314,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-04,1368,182,0,1416,134,2199,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-05,1536,219,0,1510,163,2364,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-06,1334,174,0,1551,128,2465,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-07,1496,203,0,1558,164,2441,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-08,1482,221,0,1627,148,2413,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-09,1433,176,0,1675,141,2624,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-10,1431,173,0,1687,139,2630,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-11,1271,160,0,1436,124,2284,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2023-12,1281,155,0,1431,136,2301,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-01,1299,160,0,1524,121,2559,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-02,1233,160,0,1285,120,2181,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-03,1203,166,0,1453,130,2450,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-04,1266,154,0,1461,123,2416,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-05,1411,156,0,1561,155,2647,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-06,1329,158,0,1404,107,2200,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-07,1459,173,0,1581,150,2600,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-08,1506,168,0,1570,141,2524,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-09,1451,158,0,1490,131,2551,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-10,1359,160,0,1395,130,2264,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-11,1204,93,1,1199,128,1878,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2024-12,962,11,1,1181,138,1921,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-01,1047,8,1,42,4,71,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-02,976,8,1,31,0,41,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-03,1049,10,1,33,2,43,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-04,1049,6,1,19,0,26,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-05,1117,12,1,12,0,17,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-06,1181,65,1,570,55,953,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-07,1465,152,0,1353,126,2278,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-08,1437,177,0,1289,161,2222,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-09,1482,177,0,1266,144,2052,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-10,1506,165,0,1284,141,2136,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-11,1275,157,0,1195,160,2074,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2025-12,1395,141,0,1175,107,2062,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
