violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
PC,978.5,MISDEMEANOR BENCH WARRANT (OUR AGENCY),other,978.5,978.5,0,all,All-source population only; outside the selected statute-family indicators,4991,4970,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=978.5.
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT (M),other,827.1,827.1,0,all,All-source population only; outside the selected statute-family indicators,4147,4139,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=827.1.
PC,148(A)(1),OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH (M),other,148(A)(1),148,0,all,All-source population only; outside the selected statute-family indicators,3745,3723,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.
PC,594(B)(1),VANDALISM ($400 OR MORE) (F),other,594(B)(1),594,0,all|property,property: explicit PC numeric statute family 594,2665,2655,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.
PC,459.5,SHOPLIFTING (M),other,459.5,459.5,0,all|property,property: explicit PC numeric statute family 459.5,2497,2461,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.5.
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),ambiguous_related,245A1,245,0,all|violence,violence: explicit PC numeric statute family 245; core-DV charge excluded from this family,2399,2381,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.
HS,11378,POSS CONTROLLED SUBS FOR SALE (F),other,11378,11378,0,all|drug,drug: explicit HS numeric statute family 11378,2351,2311,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11378.
PC,3056,VIOLATION PAROLE:FELONY,other,3056,3056,0,all,All-source population only; outside the selected statute-family indicators,2348,2344,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=3056.
PC,243A,BATTERY ON PERSON (M),ambiguous_related,243A,243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,2336,2315,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,496D(A),POSS STOLEN VEH/VESSEL (F),other,496D(A),496,0,all|property,property: explicit PC numeric statute family 496,2187,2151,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=496.
PC,273.6(A),VIOLATE DOMESTIC RELATIONS COURT ORDER (M),dv_labeled_order,273.6(A),273.6,0,all,All-source population only; outside the selected statute-family indicators,1959,1959,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.6.
PC,647(F)DK,DISORD CONDUCT:ALC (M),other,647(F)DK,647,0,all,All-source population only; outside the selected statute-family indicators,1865,1847,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,182(A)(1),CONSPIRACY:COMMIT CRIME (F),other,182(A)(1),182,0,all,All-source population only; outside the selected statute-family indicators,1758,1609,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=182.
HS,11351,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE (F),other,11351,11351,0,all|drug,drug: explicit HS numeric statute family 11351,1708,1679,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11351.
VC,10851(A),TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),other,10851(A),10851,0,all|property,property: explicit VC numeric statute family 10851,1663,1638,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10851.
PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER (M),ambiguous_related,166(A)(4),166,0,all,All-source population only; outside the selected statute-family indicators,1611,1601,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=166.
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC (M),other,12500(A),12500,0,all|driving,driving: explicit VC numeric statute family 12500,1396,1396,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=12500.
HS,11379(A),TRANS/ETC CONTROLLED SUBS (F),other,11379(A),11379,0,all|drug,drug: explicit HS numeric statute family 11379,1375,1342,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11379.
PC,530.5(A),GET CREDIT/ETC OTHER'S ID (F),other,530.5(A),530.5,0,all|property,property: explicit PC numeric statute family 530.5,1356,1333,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
PC,211,ROBBERY (F),ambiguous_related,211,211,0,all,All-source population only; outside the selected statute-family indicators,1354,1327,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=211.
PC,459,BURGLARY (COMMERCIAL) (F),other,459,459,0,all|property,property: explicit PC numeric statute family 459,1353,1318,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F),core_dv,273.5A,273.5,0,all|core,Core DV: existing reviewed exact charge classification,1202,1202,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.5.
HS,11352(A),TRANS/SELL NARCOTIC/CONTROLLED SUBS (F),other,11352(A),11352,0,all|drug,drug: explicit HS numeric statute family 11352,1163,1137,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11352.
PC,459,BURGLARY (RESIDENTIAL) (F),other,459,459,0,all|property,property: explicit PC numeric statute family 459,1143,1123,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.
VC,14601.2(A),DRIV W/LIC SUSP/REV W/PRIOR DUI CONV (M),other,14601.2(A),14601.2,0,all|driving,driving: explicit VC numeric statute family 14601.2,1142,1142,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=14601.2.
PC,466,POSS BURGLARY TOOLS (M),other,466,466,0,all|property,property: explicit PC numeric statute family 466,1078,1053,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=466.
VC,14601.1(A),DRVG WHILE LIC SUSP OR REVOKED:OTHER REASONS (M),other,14601.1(A),14601.1,0,all|driving,driving: explicit VC numeric statute family 14601.1,1075,1075,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=14601.1.
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI (F),ambiguous_related,245(A)(4),245,0,all|violence,violence: explicit PC numeric statute family 245; core-DV charge excluded from this family,1030,1022,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.
PC,29800(A)(1),FELON/ADDICT/POSSESS/ETC FIREARM (F),other,29800(A)(1),29800,0,all|weapons,weapons: explicit PC numeric statute family 29800,1004,996,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=29800.
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (F),ambiguous_related,422A,422,0,all|violence,violence: explicit PC numeric statute family 422; core-DV charge excluded from this family,1001,997,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=422.
PC,30305(A)(1),PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),other,30305(A)(1),30305,0,all|weapons,weapons: explicit PC numeric statute family 30305,999,993,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30305.
PC,594(B)(2)(A),VANDALISM [$400 OR LESS] (M),other,594(B)(2)(A),594,0,all|property,property: explicit PC numeric statute family 594,959,957,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.
VC,10851(A),OTHER AGENCY VEHICLE THEFT/RECOVERY (F),other,10851(A),10851,0,all|property,property: explicit VC numeric statute family 10851,936,936,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10851.
PC,166(C)(1),CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER (M),ambiguous_related,166(C)(1),166,0,all,All-source population only; outside the selected statute-family indicators,918,918,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=166.
PC,69,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),other,69,69,0,all,All-source population only; outside the selected statute-family indicators,918,918,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=69.
PC,488,PETTY THEFT(Shoplift) (M),other,488,488,0,all|property,property: explicit PC numeric statute family 488,899,890,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,273.6(A),VIOLATE DOMESTIC VIOLENCE COURT ORDER (M),dv_labeled_order,273.6(A),273.6,0,all,All-source population only; outside the selected statute-family indicators,859,859,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.6.
PC,647(F)DK,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL (M),other,647(F)DK,647,0,all,All-source population only; outside the selected statute-family indicators,840,819,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,21310,CARRY CONCEALED DIRK OR DAGGER (F),other,21310,21310,0,all|weapons,weapons: explicit PC numeric statute family 21310,832,832,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21310.
VC,20002(A),HIT AND RUN:PROP DAMAGE (M),other,20002(A),20002,0,all|driving,driving: explicit VC numeric statute family 20002,823,823,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20002.
VC,23152(F),DUI DRUG (M),other,23152(F),23152,0,all|driving,driving: explicit VC numeric statute family 23152,823,823,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
VC,4000(A)(1),EXPIRED REGISTRATION (I),other,4000(A)(1),4000,0,all,All-source population only; outside the selected statute-family indicators,809,809,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4000.
PC,3455,PRCS VIOLATION,other,3455,3455,0,all,All-source population only; outside the selected statute-family indicators,789,787,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=3455.
PC,273A(A),WILLFUL CRUELTY TO CHILD WITHOUT INJURY OR DEATH (F),ambiguous_related,273A(A),273,0,all,All-source population only; outside the selected statute-family indicators,723,723,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
PC,496(A),RECEIVE/ETC KNOWN STOLEN PROPERTY (F),other,496(A),496,0,all|property,property: explicit PC numeric statute family 496,679,662,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=496.
VC,23578,EXCESSIVE BLOOD ALC OR REFUSAL TO TAKE CHEMICAL TESTING: ENHANCED PENALTIES (I),other,23578,23578,0,all|driving,driving: explicit VC numeric statute family 23578,657,657,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23578.
PC,242,SIMPLE BATTERY (M),ambiguous_related,242,242,0,all|violence,violence: explicit PC numeric statute family 242; core-DV charge excluded from this family,644,643,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=242.
PC,496(A),RECEIVE/ETC KNOWN STOLEN PROPERTY [$950 OR LESS] (M),other,496(A),496,0,all|property,property: explicit PC numeric statute family 496,637,634,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=496.
VC,4462.5,UNLAWFUL DISPLAY OF REG:INTENT NON-COMPLIANCE (M),other,4462.5,4462.5,0,all,All-source population only; outside the selected statute-family indicators,621,621,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4462.5.
VC,2800.2(A),EVADE PEACE OFCR WITH WANTON DISREGARD FOR SAFETY (F),other,2800.2(A),2800.2,0,all|driving,driving: explicit VC numeric statute family 2800.2,586,586,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.2.
PC,148.9(A),FALSE IDENT TO PEACE OFCR (M),other,148.9(A),148.9,0,all,All-source population only; outside the selected statute-family indicators,573,571,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.9.
HS,11375(B)(2),POSS CNTL SUB W/O PRESCRIPTION (M),other,11375(B)(2),11375,0,all|drug,drug: explicit HS numeric statute family 11375,559,555,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11375.
PC,273A(B),WILLFUL CRUELTY TO CHILD NO GBI (M),ambiguous_related,273A(B),273,0,all,All-source population only; outside the selected statute-family indicators,549,546,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
PC,243D,BATTERY W/SER BODILY INJURY (F),ambiguous_related,243D,243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,538,526,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
VC,23154(A),OPERATE MOTOR VEHICLE W/0.01% OR MORE BAC WHILE ON PROBATION FOR DUI (I),other,23154(A),23154,0,all|driving,driving: explicit VC numeric statute family 23154,538,538,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23154.
PC,69(A),OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),other,69(A),69,0,all,All-source population only; outside the selected statute-family indicators,534,534,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=69.
PC,602,TRESPASSING (M),other,602,602,0,all,All-source population only; outside the selected statute-family indicators,509,503,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,368(B)(1),CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),ambiguous_related,368(B)(1),368,0,all,All-source population only; outside the selected statute-family indicators,492,491,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
VC,23152(G),DUI ALCOHOL/DRUG (M),other,23152(G),23152,0,all|driving,driving: explicit VC numeric statute family 23152,486,486,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
PC,273A(A),WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),ambiguous_related,273A(A),273,0,all,All-source population only; outside the selected statute-family indicators,464,452,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
PC,459,BURGLARY (VEHICLE) (F),other,459,459,0,all|property,property: explicit PC numeric statute family 459,464,454,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.
PC,4573.6,POSS CONTROLLED SUBS IN PRISON/JAIL (F),other,4573.6,4573.6,0,all,All-source population only; outside the selected statute-family indicators,435,435,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.6.
PC,487(A),GRAND THEFT (Shoplifting) (F),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,430,413,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,4573,BRING CONTROLLED SUBS INTO PRISON/JAIL (F),other,4573,4573,0,all,All-source population only; outside the selected statute-family indicators,424,420,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.
PC,487(A),GRAND THEFT:MONEY/LABOR/PROPERTY (F),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,411,399,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,647(F)DK,DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG (M),other,647(F)DK,647,0,all,All-source population only; outside the selected statute-family indicators,400,394,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,22210,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F),other,22210,22210,0,all|weapons,weapons: explicit PC numeric statute family 22210,398,397,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22210.
PC,22810(A),UNLAWFUL POSSESS/USE TEAR GAS OR TEAR GAS WEAPON:EX FEL/ETC (M),other,22810(A),22810,0,all|weapons,weapons: explicit PC numeric statute family 22810,390,390,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22810.
PC,417A1,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M),other,417A1,417,0,all|weapons,weapons: explicit PC numeric statute family 417,388,388,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC (I),other,12500(A),12500,0,all|driving,driving: explicit VC numeric statute family 12500,379,378,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=12500.
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (F),other,11350(A),11350,0,all|drug,drug: explicit HS numeric statute family 11350,372,370,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11350.
PC,4573.6(A),POSS CONTROLLED SUBS IN PRISON/JAIL (F),other,4573.6(A),4573.6,0,all,All-source population only; outside the selected statute-family indicators,352,342,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.6.
VC,16028A,FAIL TO PROVE FIN RESPONSIBILITY:PEACE OFCR REQUEST (I),other,16028A,16028,0,all,All-source population only; outside the selected statute-family indicators,346,346,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=16028.
PC,236,FALSE IMPRISON W/VIOL/MENACE/FRAUD/DECEIT (F),ambiguous_related,236,236,0,all,All-source population only; outside the selected statute-family indicators,344,343,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=236.
PC,485,APPROPRIATE LOST PROPERTY ($950 OR LESS) (M),other,485,485,0,all|property,property: explicit PC numeric statute family 485,342,342,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=485.
HS,11370.1(A),POSS CONT SUBS WHILE ARMED W/LOADED FIREARM (F),other,11370.1(A),11370.1,0,all|drug,drug: explicit HS numeric statute family 11370.1,340,334,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11370.1.
PC,290.018(B),FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),other,290.018(B),290.018,0,all,All-source population only; outside the selected statute-family indicators,337,337,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=290.018.
PC,591.5,OBSTRUCT USE OF ANY WIRELESS COMMUNICATION DEVICE (M),ambiguous_related,591.5,591.5,0,all,All-source population only; outside the selected statute-family indicators,335,335,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=591.5.
PC,368(B)(1),LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),ambiguous_related,368(B)(1),368,0,all,All-source population only; outside the selected statute-family indicators,332,332,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,368C,ELDER ABUSE/NEGLECT (M),ambiguous_related,368C,368,0,all,All-source population only; outside the selected statute-family indicators,325,325,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,488,PETTY THEFT(All Other Larceny) (M),other,488,488,0,all|property,property: explicit PC numeric statute family 488,320,317,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,1203.2(A),PROBATION VIOLATION:REARREST/REVOKE,other,1203.2(A),1203.2,0,all,All-source population only; outside the selected statute-family indicators,314,309,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=1203.2.
VC,23153(A),DUI ALCOHOL:CAUSING BODILY INJURY (F),other,23153(A),23153,0,all|driving,driving: explicit VC numeric statute family 23153,307,307,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
PC,25850(A),CARRY LOADED FIREARM ON/IN PERSON/VEHICLE:PUBLIC PLACE (M),other,25850(A),25850,0,all|weapons,weapons: explicit PC numeric statute family 25850,304,299,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25850.
HS,11377(A),POSS CONTROLLED SUBS (F),other,11377(A),11377,0,all|drug,drug: explicit HS numeric statute family 11377,286,280,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11377.
PC,25850(C)(6),CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F),other,25850(C)(6),25850,0,all|weapons,weapons: explicit PC numeric statute family 25850,282,274,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25850.
PC,530.5(C)(2),USE OTHERS ID WITH INTENT DEFRAUD:WITH PRIOR CONVICTION (F),other,530.5(C)(2),530.5,0,all|property,property: explicit PC numeric statute family 530.5,279,275,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
HS,11359(B),POSSESS MARIJUANA FOR SALE (M),other,11359(B),11359,0,all|drug,drug: explicit HS numeric statute family 11359,274,274,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11359.
HS,11395(B)(1),TREATMENT-MANDATED FELONY HARD DRUGS W/2 OR MORE PRIOR CONVICTIONS (F),other,11395(B)(1),11395,0,all|drug,drug: explicit HS numeric statute family 11395,266,260,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11395.
PC,182(A)(1),CONSPIRACY:COMMIT CRIME (M),other,182(A)(1),182,0,all,All-source population only; outside the selected statute-family indicators,265,247,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=182.
PC,21810,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (F),other,21810,21810,0,all|weapons,weapons: explicit PC numeric statute family 21810,265,264,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21810.
VC,23153(B),DUI .08 ALC:CAUSING BODILY INJ (F),other,23153(B),23153,0,all|driving,driving: explicit VC numeric statute family 23153,253,253,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
PC,647(E),DISORDERLY CONDUCT:LODGE WITHOUT CONSENT (M),other,647(E),647,0,all,All-source population only; outside the selected statute-family indicators,251,212,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,488,PETTY THEFT(from Veh) (M),other,488,488,0,all|property,property: explicit PC numeric statute family 488,250,247,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,245A2,ADW:ASSAULT WITH FIREARM ON PERS (F),ambiguous_related,245A2,245,0,all|violence,violence: explicit PC numeric statute family 245; core-DV charge excluded from this family,245,244,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.
VC,14601(A),DRVG WHILE LIC SUSP OR REVOKED (M),other,14601(A),14601,0,all|driving,driving: explicit VC numeric statute family 14601,242,242,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=14601.
PC,487(A),GRAND THEFT (Theft From Building) (F),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,239,233,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
