Violation Type,Violation Section,Violation Description,tier,dv_subtype,classification_reason,row_count,event_count,rows_2018_2023,rows_2024,rows_2025
PC,24610,MANUFACTURE/SALE/POSSESS UNDETECTABLE FIREARM (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,105,105,88.0,13.0,4.0
PC,288(A),LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,96,96,75.0,13.0,8.0
PC,215(A),CARJACKING (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,91,90,76.0,8.0,7.0
PC,646.9(A),STALKING (F),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,90,89,71.0,14.0,5.0
PC,246.3,WILLFUL DISCHARGE OF FIREARM IN A GROSSLY NEGLIGENT MANNER (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,87,86,74.0,9.0,4.0
PC,245C,ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,86,86,73.0,7.0,6.0
PC,243.4(E)(1),SEXUAL BATTERY (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,81,81,63.0,11.0,7.0
PC,591.5,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,80,80,67.0,10.0,3.0
PC,166(A)(1),CONTEMPT OF COURT:DISORD BEHAVIOR (M),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,71,71,61.0,7.0,3.0
PC,273A(A),WILLFUL CRUELTY TO CHILD:WITH MINOR INJURY (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",62,62,31.0,18.0,13.0
PC,368(B)(1),ACTIONS LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",57,56,26.0,18.0,13.0
PC,368(D),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",48,48,48.0,0.0,0.0
PC,261(A)(2),RAPE BY FORCE/FEAR (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,41,37,29.0,7.0,5.0
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,36,36,31.0,3.0,2.0
PC,243(C)(1),BATTERY AGAINST EMERGENCY PERSON MINOR INJURY (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,34,34,25.0,6.0,3.0
PC,22010,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,33,33,33.0,0.0,0.0
PC,273D,INFLICT MINOR INJ UPON CHILD (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",32,32,32.0,0.0,0.0
PC,243(C)(2),BATTERY AGAINST POLICE OFFICER WITH SERIOUS INJURY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,31,31,24.0,5.0,2.0
PC,653M(A),ANNOYING PHONE CALL:OBSCENE/THREATENING (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,31,31,31.0,0.0,0.0
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",30,27,7.0,14.0,9.0
PC,243.4(A),SEXUAL BATTERY (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,29,29,27.0,0.0,2.0
PC,246.3,WILLFULLY DISCHARGE FIREARM IN A GROSSLY NEGLIGENT MANNER (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,29,29,25.0,4.0,0.0
PC,243.9A,BATTERY BY GASSING OF PO/DETENTION/INVEST/PROSECUTION EMP (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,26,26,16.0,8.0,2.0
PC,136.1(B)(1),ATT TO PREVENT/DISSUADE VIC/WIT FROM REPORTING (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,25,25,24.0,1.0,0.0
PC,240,ASSAULT ON PERS (Simple Assault) (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,25,25,21.0,4.0,0.0
PC,246,SHOOT AT INHABITED DWELLING/VEH (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,25,25,20.0,3.0,2.0
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,24,24,2.0,22.0,0.0
PC,243A,BATTERY ON PERSON,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,23,23,2.0,21.0,0.0
PC,136.1(A)(1),PREVENT/DISSUADE VIC/WIT (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,22,22,20.0,1.0,1.0
PC,273D,INFLICT SERIOUS INJ UPON A CHILD (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",22,22,16.0,4.0,2.0
PC,261.5(C),UNL SEX INTERCOURSE W/MINOR:MORE THAN 3 YRS YOUNGER (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,21,21,19.0,1.0,1.0
PC,288.5(A),CONTINUOUS SEXUAL ABUSE OF CHILD (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,18,18,10.0,6.0,2.0
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,17,16,0.0,17.0,0.0
PC,245B,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,17,17,14.0,0.0,3.0
PC,273A(A),WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH,ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",17,16,0.0,17.0,0.0
PC,422.7(A),VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,17,16,14.0,3.0,0.0
PC,241C,ASSAULT ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,16,16,7.0,5.0,4.0
PC,368(F),FALSE IMPRISONMENT OF ELDER (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",16,16,14.0,2.0,0.0
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,16,16,0.0,16.0,0.0
PC,243(C)(1),BATTERY AGAINST EMERGENCY PERSON SERIOUS INJURY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,15,15,10.0,5.0,0.0
PC,288(B)(1),LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14 W/FORCE/ETC (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,15,15,8.0,3.0,4.0
PC,288(C)(1),LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER 11D (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,15,15,14.0,1.0,0.0
PC,368(B)(1),CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT,ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",15,15,0.0,15.0,0.0
PC,591,DAMAGE ETC/USE ETC/POWER CONNECTING LINES (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,15,15,14.0,1.0,0.0
PC,18710(A),POSSESS DESTRUCTIVE DEVICE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,14,14,11.0,2.0,1.0
PC,220(A),ASSAULT W/INTENT TO COMMIT RAPE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,14,14,14.0,0.0,0.0
PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER,ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,13,13,0.0,13.0,0.0
PC,166(C)(1),CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER,ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,13,13,0.0,13.0,0.0
PC,289A,SEXUAL PENETRATION W/FORCE/FEAR/ETC (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,13,13,11.0,1.0,1.0
PC,368(D),THEFT OF ELDER/DEPENDENT ADULT (LARCENY $950 OR LESS) (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",13,13,13.0,0.0,0.0
PC,211,ROBBERY,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,12,12,1.0,11.0,0.0
PC,242,SIMPLE BATTERY,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,12,12,0.0,12.0,0.0
PC,245(A)(1),ASSAULT W/DEADLY WEAPON:NOT F/ARM,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,12,12,0.0,12.0,0.0
PC,243.2A,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,11,11,7.0,4.0,0.0
PC,368(E),FIN ELDER ABUSE BY CARETAKER (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",11,11,11.0,0.0,0.0
PC,136.1C1,PREVENT/DISSUADE WIT VIC BY THREAT/FORCE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,10,10,10.0,0.0,0.0
PC,287(C)(2)(A),ORAL COPULATION W/ FORCE OR FEAR (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,10,10,10.0,0.0,0.0
PC,288.7(A),INTERCOURSE:VICTIM UNDER 10 YEARS OF AGE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,10,10,8.0,2.0,0.0
PC,29825(A),PROHIBITED BY COURT ORDERS:PURCHASE/ETC FIREARM (F),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,10,10,8.0,0.0,2.0
PC,29825(B),PROHIBITED OWN /POSSESS FIREARM DENIED BY COURT ORDERS (M),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,10,10,10.0,0.0,0.0
PC,136.1(A)(2),ATT TO PREVENT/DISSUADE VIC/WIT (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,9,9,8.0,1.0,0.0
PC,236.1(C),HUMAN TRAFFICKING OF VICTIM UNDER 18 YEARS OF AGE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,9,8,7.0,0.0,2.0
PC,244,ASSAULT WITH CAUSTIC CHEMICAL (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,9,9,6.0,3.0,0.0
PC,246.3(B),DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,9,9,9.0,0.0,0.0
PC,261.5(D),UNL SEXUAL INTERCOURSE W/MINOR:PERP 21+ VIC -16 (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,9,9,7.0,0.0,2.0
PC,368C,ELDER ABUSE/NEGLECT,ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",9,9,0.0,9.0,0.0
PC,243(A),BATTERY ON PERSON,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,0.0,8.0,0.0
PC,243.3,BATTERY ON TRANSPORTATION PERSONNEL/PASSENGER (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,6.0,2.0,0.0
PC,243.4(A),SEXUAL BATT BY RESTRAINT (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,2.0,3.0,3.0
PC,243.4(A),SEXUAL BATTERY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,8.0,0.0,0.0
PC,244.5B,ASSAULT WITH STUN GUN/TASER (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,7.0,1.0,0.0
PC,245(D)(1),ASSAULT W/FIREARM ON PEACE OFFICER/FIREFIGHTER (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,8.0,0.0,0.0
PC,261(A)(4),RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,8.0,0.0,0.0
PC,653M(B),ANNOYING REPEATED PHONE CALLS:RES (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,8,8,8.0,0.0,0.0
PC,18715(A),RECKLESSLY POSS EXOSIVE/DESTRUCTIVE DEVICE IN PUBLIC (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,7,7,7.0,0.0,0.0
PC,273A(B),WILLFUL CRUELTY TO CHILD NO GBI,ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",7,7,0.0,7.0,0.0
PC,278,CHILD STEALING (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,7,7,7.0,0.0,0.0
PC,288.3,CONTACT MINOR WITH INTENT SEX (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,7,7,3.0,2.0,2.0
PC,288A(C)(2),ORAL COPULATION BY FORCE OR FEAR (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,7,7,7.0,0.0,0.0
PC,368(E)(1),THEFT FROM ELDER/DEP ADULT BY CARETAKER [OVER $950] (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",7,7,4.0,2.0,1.0
PC,646.9(C),STALKING W/PR (F),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,7,7,7.0,0.0,0.0
PC,653M(A),ANNOYING PHONE CALL OBSCENE/THREATENING - INTIMIDATION (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,7,7,1.0,2.0,4.0
PC,22010,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,6,6.0,0.0,0.0
PC,243.4(A),SEXUAL BATT BY RESTRAINT (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,6,1.0,3.0,2.0
PC,243D,BATTERY W/SER BODILY INJURY,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,5,0.0,6.0,0.0
PC,287(B)(1),ORAL COPULATION W/ PERSON UNDER 18 YEARS (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,6,4.0,1.0,1.0
PC,288(C)(1),LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,6,5.0,0.0,1.0
PC,288.4(B),ARRANGE/GO TO MEETING WITH MINOR (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,6,5.0,0.0,1.0
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT OVER $950) (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",6,6,1.0,3.0,2.0
PC,422.6A,VIOLATE CIVIL RIGHTS BY THREAT OF FORCE (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,6,6,5.0,1.0,0.0
PC,209(B)(1),KIDNAP TO COMMIT ROBBERY/RAPE/289 PC (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,5,5,5.0,0.0,0.0
PC,243.25,BATTERY ON ELDER OR DEPENDENT ADULT WITH NO INJURY / MINOR INJURY (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",5,5,5.0,0.0,0.0
PC,243.4(E)(1),SEXUAL BATTERY,ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,5,5,0.0,5.0,0.0
PC,261(A)(1),RAPE:VIC INCAPABLE OF GIVING CONSENT (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,5,5,3.0,1.0,1.0
PC,273D,INFLICT MINOR INJ UPON CHILD (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",5,5,1.0,2.0,2.0
PC,288.7(B),FORCIBLE PENETRATION W/OBJECT:VICTIM UNDER 10 YEARS OF AGE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,5,5,5.0,0.0,0.0
PC,288.7(B),ORAL COPULATION:VICTIM UNDER 10 YEARS OF AGE: DEF 18+ (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,5,5,0.0,2.0,3.0
PC,422.6B,DAMAGE PROP TO VIOLATE CIVIL RIGHTS (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,5,5,5.0,0.0,0.0
PC,136.1(B)(2),ATT TO PREVENT/DISSUADE VIC/WIT FROM PROSECUTING (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,4,4,2.0,0.0,2.0
PC,166(A),CONTEMPT OF COURT VIOLATE A GANG INJUNCTION (M),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,4,4,4.0,0.0,0.0
