source_id,unitid,year,measure,value,status,period_label,source_url,source_title,source_sha256,hash_basis,scope_note,source_page
cmu-asr-housing-2024,211440,2024,residents,3988,accepted_actual,Fall 2024,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,Carnegie Mellon Annual Security and Fire Safety Report housing census (2026 edition),3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,,"Pittsburgh undergraduates: University Housing 3,732 plus separately listed Fraternity & Sorority Housing 256. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81
frozen-211440-2024-enrollment,211440,2024,enrollment,15888,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-144050-2022-enrollment,144050,2022,enrollment,18339,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-144050-2023-enrollment,144050,2023,enrollment,18339,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-144050-2024-enrollment,144050,2024,enrollment,18566,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-190150-2022-enrollment,190150,2022,enrollment,35784,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-190150-2023-enrollment,190150,2023,enrollment,35279,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-190150-2024-enrollment,190150,2024,enrollment,35173,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-190415-2022-enrollment,190415,2022,enrollment,25898,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-190415-2023-enrollment,190415,2023,enrollment,26264,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-190415-2024-enrollment,190415,2024,enrollment,26793,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-182670-2022-enrollment,182670,2022,enrollment,6744,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-182670-2023-enrollment,182670,2023,enrollment,6746,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-182670-2024-enrollment,182670,2024,enrollment,6938,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-198419-2022-enrollment,198419,2022,enrollment,18023,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-198419-2023-enrollment,198419,2023,enrollment,17112,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-198419-2024-enrollment,198419,2024,enrollment,17499,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-134130-2022-enrollment,134130,2022,enrollment,55211,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-134130-2023-enrollment,134130,2023,enrollment,54814,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-134130-2024-enrollment,134130,2024,enrollment,56311,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-131496-2022-enrollment,131496,2022,enrollment,20984,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-131496-2023-enrollment,131496,2023,enrollment,20392,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-131496-2024-enrollment,131496,2024,enrollment,20031,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-139755-2022-enrollment,139755,2022,enrollment,45296,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-139755-2023-enrollment,139755,2023,enrollment,47946,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-139755-2024-enrollment,139755,2024,enrollment,53363,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-166027-2022-enrollment,166027,2022,enrollment,30631,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-166027-2023-enrollment,166027,2023,enrollment,30386,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-166027-2024-enrollment,166027,2024,enrollment,30259,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-145637-2022-enrollment,145637,2022,enrollment,56916,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-145637-2023-enrollment,145637,2023,enrollment,56563,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-145637-2024-enrollment,145637,2024,enrollment,59238,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-162928-2022-enrollment,162928,2022,enrollment,31275,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-162928-2023-enrollment,162928,2023,enrollment,30362,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-162928-2024-enrollment,162928,2024,enrollment,30210,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-170976-2022-enrollment,170976,2022,enrollment,51225,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-170976-2023-enrollment,170976,2023,enrollment,52065,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-170976-2024-enrollment,170976,2024,enrollment,52855,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-166683-2022-enrollment,166683,2022,enrollment,11858,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-166683-2023-enrollment,166683,2023,enrollment,11920,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-166683-2024-enrollment,166683,2024,enrollment,11886,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-199120-2022-enrollment,199120,2022,enrollment,31705,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-199120-2023-enrollment,199120,2023,enrollment,32234,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-199120-2024-enrollment,199120,2024,enrollment,32438,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-147767-2022-enrollment,147767,2022,enrollment,23161,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-147767-2023-enrollment,147767,2023,enrollment,23203,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-147767-2024-enrollment,147767,2024,enrollment,23856,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-152080-2022-enrollment,152080,2022,enrollment,13105,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-152080-2023-enrollment,152080,2023,enrollment,13174,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-152080-2024-enrollment,152080,2024,enrollment,13042,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-193900-2022-enrollment,193900,2022,enrollment,59144,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-193900-2023-enrollment,193900,2023,enrollment,57335,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-193900-2024-enrollment,193900,2024,enrollment,56832,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-204796-2022-enrollment,204796,2022,enrollment,60540,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-204796-2023-enrollment,204796,2023,enrollment,60046,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-204796-2024-enrollment,204796,2024,enrollment,61443,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-214777-2022-enrollment,214777,2022,enrollment,50028,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-214777-2023-enrollment,214777,2023,enrollment,50399,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-214777-2024-enrollment,214777,2024,enrollment,50737,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-215062-2022-enrollment,215062,2022,enrollment,28201,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-215062-2023-enrollment,215062,2023,enrollment,28711,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
