nibrs_code,description,category,offense_definition,crime_against_category,group,notes
23D,Theft from Building,Larceny/Theft Offenses,"The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access. Law enforcement should report a theft from a structure where the offender entered the structure illegally as burglary.
Theft From Building includes thefts from such places as churches, restaurants, schools, libraries, public buildings, and other public and professional offices during the hours when such facilities
are open to the public. Agencies should not include Shoplifting and Thefts From Coin-Operated Machines or Devices within open buildings, but should classify these as other specific larceny
types. For example, if an individual invites another person to their home for a meal, and the other person steals something from the home during the course of the meal, the incident should be
classified as Theft From Building (the guest had every right to be in the home but they stole something from the home while they were there).",Property,A,
23E,Theft from Coin Operated Machine or Device,Larceny/Theft Offenses,"The unlawful taking of items from a machine or device that is operated or activated by the use of coins. This includes machines or devices that accept paper money as well as those which accept coins. Examples include candy and food vending machines; telephone coin boxes; parking meters; pinball machines; or washers and dryers located in laundromats where no breaking or illegal entry of the building is involved. If an offender breaks into a building or illegally enters a building and rifles a coin-operated
machine for money and/or merchandise, law enforcement should classify this as burglary.",Property,A,
23F,Theft from Motor Vehicle,Larceny/Theft Offenses,"The unlawful taking of articles from a motor vehicle, locked or unlocked. This type of Larceny includes thefts from automobiles, trucks, truck trailers, buses, motorcycles, motor homes, or other recreational vehicles. It also includes thefts from any area in the
automobile or other type of vehicle, e.g., the trunk, glove compartment, or other enclosure. Some of the items stolen in this type of theft are cameras, suitcases, apparel, packages, etc.,
that are not an integral part of the vehicle. Agencies should not include items considered automobile accessories, as they fall under Theft of Motor Vehicle Parts and Accessories. For Larceny situations in which offenders steal both articles from the motor vehicle and motor vehicle parts and accessories, agencies should report Theft From Motor Vehicle and Theft of Motor Vehicle Parts and Accessories with each corresponding property type/loss; conversion of NIBRS data to SRS data will classify one type of larceny/theft based upon the higher loss value and combine the lesser with it.",Property,A,
23G,Theft of Motor Vehicle Parts/Accessories,Larceny/Theft Offenses,"The unlawful taking of any part or accessory affixed to the interior or exterior of a motor vehicle in a manner which would make the item an attachment of the vehicle or necessary for
its operation. This Larceny subcategory includes thefts of motors, transmissions, radios, heaters, hubcaps and wheel covers, manufacturers’ emblems, license plates, side-view mirrors, siphoned gasoline, built-in DVD players, mounted GPS devices, catalytic converter, tires on car, etc. If items stolen were not part of the vehicle and were only being transported in the vehicle when
stolen, the reporting agency should classify the offense as Theft From Motor Vehicle.",Property,A,
23H,All Other Larceny,Larceny/Theft Offenses,"All thefts which do not fit any of the Larceny/Theft or specific subcategories identified in UCR. All Other Larceny includes thefts from fenced enclosures, boats (houseboats if used for
recreational purposes), and airplanes. It also includes the illegal entry of a tent, tent trailer, or travel trailer used for recreational purposes, followed by a theft or attempted theft. Examples
of items stolen from areas in which the offender did not break into a structure are thefts of animals, lawnmowers, lawn furniture, hand tools, and farm and construction equipment. Agencies should also classify instances that the offender takes gasoline from a self-service gas station and leaves without paying as All Other Larceny.",Property,A,
240,Motor Vehicle Theft,Motor Vehicle Theft,"The theft of a motor vehicle. A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that
is not proceeds of another crime and that fits one of the following descriptions: cars, buses, recreational vehicles, trucks, motorcycles, motor scooters, trail bikes, mopeds, snowmobiles, all-terrain vehicles, or golf carts whose primary purpose is to
transport people",Property,A,
250,Counterfeiting/Forgery,Counterfeiting/Forgery,"The altering, copying, or imitating of something, without authority or right, with the intent to deceive or defraud by passing the copy or thing altered or imitated as that which is original or
genuine, or the selling, buying, or possession of an altered, copied, or imitated thing with the intent to deceive or defraud.
Most states treat Counterfeiting and Forgery as allied offenses. This category includes offenses such as altering and forging public and other records; making, altering, forging or counterfeiting
bills, notes, drafts, tickets, checks, credit cards, etc.; forging wills, deeds, notes, bonds, seals, trademarks, etc.; counterfeiting coins, plates, banknotes, checks, etc.; possessing forged or counterfeit instruments; erasures; signing the name of another or fictitious person with intent to defraud; using forged labels; possession, manufacture, etc., of counterfeiting apparatus; and selling goods with altered, forged, or counterfeit trademarks. Although Counterfeiting/Forgery offenses can involve elements of Fraud, the FBI UCR Program treats them separately due to their unique nature.",Property,A,
26A,False Pretenses/Swindle/Confidence Game,Fraud Offenses,"The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes
fraud offenses that do not fit any of the definitions of the specific subcategories of fraud. This term applies to the premeditated and calculated act that misrepresents the facts or a situation in order to defraud (false pretenses) and cheating and defrauding grossly with
deliberate artifice (swindling). Acquisition of personal or movable property, money, or instrument of writing conveying or
securing a valuable right, by means of some false or deceitful pretense or device, or fraudulent representation, with intent to appropriate the same to use of the party so acquiring, or of destroying or impairing the rights of the party justly entitled to the same (swindling). Applies to a swindle where the swindler gains the confidence of the person he is trying swindle (confidence game).",Property,A,"26A – 26H Fraud Offenses (except Counterfeiting/Forgery)
The intentional perversion of the truth for the purpose of inducing another person or other entity in reliance upon it to part with something of value or to surrender a legal right. When classifying fraud cases other than the most obvious ones, e.g., con games, swindles, etc., agencies should use care in applying the facts of the case to the definition of Fraud. Often questions arise as to whether the facts of a case describe a Fraud or a Larceny. Though both offenses can involve theft, it is the method used to steal that differentiates the two. Fraud is achieved through deceit or lying; larceny, is the physical taking of something. By definition, Fraud involves either the offender receiving a benefit or the victim incurring a detriment. The benefit or detriment could be either tangible or intangible. Intangibles are anything a person cannot perceive by the sense of touch. They can be a benefit (a right or privilege, a promotion, enhanced reputation, etc.) or a detriment (the loss of reputation, injured feelings, etc.). For example, if a person impersonates a doctor to gain entrance to a restricted area of a hospital, the benefit to the offender (entry to the restricted area) is an intangible. The only fraud-related violations agencies should not report under the Fraud Offenses category is Counterfeiting/Forgery. These offenses have their own specific offense classifications. Examples of common fraud involve cases in which an offender rents something of value, e.g., equipment or an automobile, for a time but does not return the item. Agencies should classify this offense, conversion of goods lawfully possessed by a bailee, as Fraud and not Larceny. In such cases, the offenders originally had lawful possession of the property (the property was either rented or loaned) and through deceit (they promised to return it) kept the property."
26B,Credit Card/Automatic Teller Fraud,Fraud Offenses,"The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.This offense does not apply to the theft of a credit/debit card but rather its fraudulent use",Property,A,
26C,Impersonation,Fraud Offenses,"Unlawfully representing one’s position and acting in the character or position to deceive others and thereby gain a profit or advantage, or enjoy some right or privilege. Note: If a credit card number is fraudulently used, LEAs should report this as a
26B = Credit Card Fraud.",Property,A,
26D,Welfare Fraud,Fraud Offenses,"The use of deceitful statements, practices, or devices to unlawfully obtain welfare benefits. Includes electronic benefit transfer (EBT) card when utilized with a welfare transaction",Property,A,
26E,Wire Fraud,Fraud Offenses,"The use of an electric or electronic communications facility to intentionally transmit a false and/or deceptive message in furtherance of a fraudulent activity.This classification applies to those cases where telephone, teletype, computers, e-mail, text messages, etc., are used in the commission or furtherance of a fraud. For example, if someone uses a computer to order products through a fraudulent online auction site and pays for the products but never receives them, LEAs should classify the incident as 26E = Wire Fraud.",Property,A,
26F,Identity Theft,Fraud Offenses,"Wrongfully obtaining and/or using another person’s personal data (e.g., name and date of birth, Social Security number, driver’s license number).This offense includes opening a credit card, bank account, etc. using a person’s information. This offense should not be confused with Impersonation (26C) (falsely acting in the character or position to unlawfully deceive others to gain a profit or advantage; when impersonating another person, the offender would not be in possession of another person’s personal data).",Property,A,
26G,Hacking/Computer Fraud,Fraud Offenses,"Gaining access to another person’s or institution’s computer software, hardware, or networks without authorized permissions.",Property,A,
270,Embezzlement,Embezzlement,"The unlawful misappropriation by an offender to his/her own use or purpose of money, property, or some other thing of value entrusted to his/her care, custody, or control. In general, an employer/employee or legal agent relationship must exist for Embezzlement to occur. Typically, the victims of these offenses are businesses, financial institutions, etc. Agencies must enter the type of victim in Data Element 25 (Type of Victim) (e.g., financial institution, business, government, individual, religious organization, society/public, and other).",Property,A,
280,Stolen Property Offenses,Stolen Property Offenses,"Buying, receiving, possessing, selling, concealing, or transporting any property with the knowledge that it has been unlawfully taken, as by burglary, embezzlement, fraud, larceny, robbery, etc. Reporting agencies must enter at least one but no more than three types of activity (receiving, buying, selling, possessing, concealing, and/or transporting) in Data Element 12 (Type Criminal
Activity/Gang Information).",Property,A,
290,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,"To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.
As a general rule, LEAs should report this offense only if they deem substantial damage to property has occurred, e.g., major structural damage, property damage generally classified as a
felony destruction of property. Agencies should not report insubstantial damage, such as a broken window or other minor damage. The FBI UCR Program leaves the determination of
whether the damage was substantial to the discretion of the reporting LEA as it should not require burdensome damage assessments.",Property,A,
35A,Drug/narcotic violations,Drug/narcotic offenses,"The unlawful cultivation, manufacture, distribution, sale, purchase, use, possession, transportation, or importation of any controlled substance.",Society,A,"35A – 35B Drug/Narcotic Offenses
The violation of laws prohibiting the production, distribution, and/or use of certain controlled substances and the equipment or devices utilized in their preparation and/or use."
35B,Drug equipment violations,Drug/narcotic offenses,"The unlawful manufacture, sale, purchase, possession, or transportation of equipment or devices utilized in preparing and/or using drugs or narcotics. This offense covers those cases involving drug paraphernalia, equipment, chemicals, illegal labs,
etc.",Society,A,
36A,Incest,"Sex Offenses, Nonforcible",Nonforcible sexual intercourse between persons who are related to each other within the degrees wherein marriage is prohibited by law.,Persons,A,"36A – 36B, 360 Sex Offenses - Unlawful sexual intercourse.                                                                                      Mutually Exclusive: 11A = Rape, 11B = Sodomy, 11C = Sexual Assault With An Object, and 11D = Fondling"
36B,Statutory Rape,"Sex Offenses, Nonforcible",Nonforcible sexual intercourse with a person who is under the statutory age of consent. There is no force or coercion used in Statutory Rape; the act is not an attack. LEAs should classify an offense as Statutory Rape based on the state’s Statutory Rape laws and the findings of the LE investigation,Persons,A,"Mutually Exclusive: 11A = Rape, 11B = Sodomy, 11C = Sexual Assault With An Object, and 11D = Fondling"
370,Pornography/Obscene Material,Pornography/Obscene Material,"The violation of laws or ordinances prohibiting the manufacture, publishing (publication), distributing (distribution), sale, purchase, or possession of sexually explicit material deemed legally obscene.",Society,A,
39A,Betting/Wagering,Gambling Offenses,To unlawfully stake money or something else of value on the happening of an uncertain event or on the ascertainment of a fact in dispute.,Society,A,"39A – 39D Gambling Offenses
To unlawfully bet or wager money or something else of value; assist, promote, or operate a game of chance for money or some other stake; possess or transmit wagering information; manufacture, sell, purchase, possess, or transport gambling equipment, devices, or goods; or tamper with the outcome of a sporting event or contest to gain a gambling advantage. While explicit definitions are provided for most Group A crimes, some crimes, such as Gambling Offenses, depend on the violation of locally established statutes. For example, in those areas of the nation where gambling is legal, agencies should report gambling offenses only if they
violate the statutes of the jurisdiction."
39B,Operating/Promoting/Assisting Gambling,Gambling Offenses,"To unlawfully operate, promote, or assist in the operation of a game of chance, lottery, or other gambling activity. This offense includes bookmaking, numbers running, transmitting wagering information, etc.",Society,A,
39C,Gambling Equipment Violations,Gambling Offenses,"To unlawfully manufacture, sell, buy, possess, or transport equipment, devices, and/or goods used for gambling purposes. Gambling paraphernalia is another name for such equipment.",Society,A,
39D,Sports Tampering,Gambling Offenses,"To unlawfully alter, meddle in, or otherwise interfere with a sporting contest or event for the purpose of gaining a gambling advantage.This offense includes engaging in Bribery for gambling purposes. For example, if an offender bribed a jockey to lose a horse race, the agency must report the offense as Sports Tampering, not Bribery.",Society,A,
40A,Prostitution,Prostitution Offenses,To engage in commercial sex acts for anything of value.,Society,A,"40A – 40C Prostitution Offenses
To unlawfully engage in or promote sexual activities for anything of value."
40B,Assisting or Promoting Prostitution,Prostitution Offenses,"To solicit customers or transport persons for prostitution purposes; to own, manage, or operate a dwelling or other establishment for the purpose of providing a place where prostitution is performed; or to otherwise assist or promote prostitution.",Society,A,
40C,Purchasing Prostitution,Prostitution Offenses,To purchase or trade anything of value for sex acts.,Society,,
510,Bribery,Bribery,"The offering, giving, receiving, or soliciting anything of value (e.g., a bribe, gratuity, or kickback) to sway the judgement or action of a person in a position of trust or influence.",Property,A,
520,Weapons Law Violations,Weapons Law Violations,"The violation of laws or ordinances prohibiting the manufacture, sale, purchase, transportation, possession, concealment, or use of firearms, cutting instruments, explosives, incendiary devices, or other deadly weapons. This offense includes violations such as the manufacture, sale, or possession of deadly weapons; carrying deadly weapons, concealed or openly; using, manufacturing, etc., silencers; and furnishing deadly weapons to minors.",Society,A,
64A,"Human Trafficking, Commercial Acts",Human Trafficking,"Inducing a person by force, fraud, or coercion to participate in commercial sex acts, or in which the person induced to perform such act(s) has not attained 18 years of age. All juveniles should be considered a victim of human trafficking if considered to be induced to perform commercial sex acts. Human trafficking involves “exploitation” of the individual. Not every human trafficking incident should be based on the commercial sex act alone. Survival sex is counted (Sex acts for food, shelter, etc.)",Persons,A,"64A – 64B Human Trafficking Offenses
The inducement of a person to perform a commercial sex act, or labor, or services, through force, fraud, or coercion. Human trafficking has also occurred if a person under 18 years of age has been induced, or enticed, regardless of force, fraud, or coercion, to perform a commercial sex act."
64B,"Human Trafficking, Involuntary Servitude",Human Trafficking,"The obtaining of person(s) through recruitment, harboring, transportation, or provision, and subjecting such persons by force, fraud, or coercion into involuntary servitude, peonage, debt
bondage, or slavery (not to include commercial sex acts).",Persons,A,
720,Animal Cruelty,Animal Cruelty,"Intentionally, knowingly, or recklessly taking an action that mistreats or kills any animal without just cause, such as torturing, tormenting, mutilation, maiming, poisoning, or abandonment. Included are instances of duty to provide care, e.g., shelter, food, water, care if sick or injured; transporting or confining an animal to fight with another; inflicting excessive or repeated unnecessary pain or suffering, e.g., uses objects to beat or injure an animal. This
definition does not include proper maintenance of animals for show or sport; use of animals for food, lawful hunting, fishing or trapping.",Society,A,
90A,Bad Checks,"Group ""B"" Offenses",NA,Property,B,"90A, 90E, and 90H have been deprecated"
90B,Curfew/Loitering/Vagrancy Violations,"Group ""B"" Offenses","The violation of a court order, regulation, ordinance, or law requiring the withdrawal of persons from the streets or other specified areas; prohibiting persons from remaining in an
area or place in an idle or aimless manner; or prohibiting persons from going from place to place without a visible means of support.",Society,B,
90C,Disorderly Conduct,"Group ""B"" Offenses","Any behavior that tends to disturb the public peace or decorum, scandalize the community, or shock the public sense of morality.
This offense includes affray (when not physical), blasphemy, profanity, obscene language, disturbing the peace, indecent exposure, loud music, and public nuisance.",Society,B,
90D,Driving Under the Influence,"Group ""B"" Offenses","Driving or operating a motor vehicle or common carrier while mentally or physically impaired as the result of consuming an alcoholic beverage or using a drug or narcotic. This offense includes driving while intoxicated and operating an airplane, boat, bus, streetcar, train, etc., while under the influence.",Society,B,
90E,Drunkenness,"Group ""B"" Offenses",NA,Society,B,"90A, 90E, and 90H have been deprecated"
90F,Family Offenses (Nonviolent),"Group ""B"" Offenses","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental, or economic well-being or morals of another family member and that are not classifiable as other offenses such as assault, incest, and statutory rape.
Nonviolent Family Offenses include abandonment, desertion, neglect, nonsupport, nonviolent abuse, and nonviolent cruelty to other family members. This category also includes the
nonpayment of court-ordered alimony (i.e., considered to be contempt of court) within the reporting jurisdiction. Agencies should not include the victims of these offenses taken into custody for their own protection.",NULL,B,
90G,Liquor Law Violations,"Group ""B"" Offenses","The violation of laws or ordinances prohibiting the manufacture, sale, purchase, transportation, possession, or use of alcoholic beverages. Liquor law violations include violation of laws/ordinances prohibiting the maintenance of unlawful drinking places; operating without a liquor license; underage drinking; furnishing liquor to a minor; bootlegging; operating a still; using a vehicle for the illegal transportation of liquor; etc.",Society,B,
90H,Peeping Tom,"Group ""B"" Offenses",NA,Society,B,"90A, 90E, and 90H have been deprecated"
90I,Runaway,"Group ""B"" Offenses",NA,Not Chargeable,B,The FBI UCR Program no longer accepts submissions of 90I = Runaway.
90J,Trespass of Real Property,"Group ""B"" Offenses","To unlawfully enter land, a dwelling, or other real property.
All Burglary offenses include the element of trespass. Trespassing, however, involves entry with no intent to commit a felony or theft.",Society,B,
90Z,All Other Offenses,"Group ""B"" Offenses","All crimes that are not Group A offenses and not included in one of the specifically named Group B crime categories listed previously.
This category includes Offenses of General Applicability if the substantive offense is a Group A offense unless it is an integral component of the Group A offense such as human trafficking.
Offenses of General Applicability are those offenses prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of,
Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.",NULL,B,
Additional Notes,"What does your text mean in the notes sections that 90A, 90E and 90H have been deprecated?
90A, 90E, and 90H were deprecated by the FBI a few years ago, and should not be reported any longer. 90A (Bad Checks) should normally now be reported under 90Z.  (e.g. 476A PC)
90E (Drunkenness) should normally now be reported under 90C (Disorderly Conduct).  (e.g., 647(F) PC) 90H (Peeping Tom) should normally now be under 90C (647(J) PC) or 90Z (or even 90J (634 PC), depending on circumstances).
 
What does it mean if the UCR Code column is blank?
The UCR Columns are blank for the deprecated offenses, which should not be reported.

What does that mean if Crime Against column is blank?
Depending on other factors in the incident, the Crime Against could be different.
E.g.,  90F could be a crime against Person (271 PC) or a crime against Society (273 PC).
90Z is a catch-all for ""all other crimes"", which are mostly against Society, but can be against Property.",,,,,
